PRISM Time Series Data
Location:  Lat: 44.8983   Lon: -89.7591   Elev: 1243ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2009-01-01 - 2020-12-01
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2023-Apr-11
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
2009-03-11,0.13,6.3,21.0,35.6,21.0,0.12,1.02
2009-03-12,0.00,-2.3,6.4,15.1,-2.2,0.38,1.27
2009-03-13,0.00,-1.3,8.7,18.7,-1.4,0.35,2.10
2009-03-14,0.00,12.0,23.8,35.5,17.1,0.31,3.60
2009-03-15,0.00,22.0,34.0,46.0,23.3,0.31,6.11
2009-03-16,0.00,25.1,38.5,51.9,28.4,0.52,7.50
2009-03-17,0.00,32.6,45.5,58.3,36.5,0.52,8.58
2009-03-18,0.00,31.2,46.6,62.0,33.6,0.97,9.93
2009-03-19,0.00,20.3,35.4,50.5,18.2,1.10,8.87
2009-03-20,0.00,16.5,24.7,32.9,11.2,0.34,3.95
2009-03-21,0.22,18.2,26.1,34.1,24.4,0.09,2.88
2009-03-22,0.00,33.0,43.5,53.9,33.3,0.32,7.42
2009-03-23,0.08,30.8,36.5,42.3,27.4,0.52,3.39
2009-03-24,0.48,31.1,33.8,36.4,27.3,0.48,2.75
2009-03-25,0.77,33.7,38.3,43.0,36.1,0.22,1.77
2009-03-26,0.00,31.1,33.5,35.9,28.8,0.89,1.59
2009-03-27,0.00,20.7,28.9,37.1,21.0,0.66,2.83
2009-03-28,0.00,21.2,27.3,33.4,15.9,0.54,3.41
2009-03-29,0.00,22.5,29.0,35.5,19.7,0.49,3.56
2009-03-30,0.00,19.6,29.4,39.1,14.2,0.75,5.17
2009-03-31,0.04,23.4,34.9,46.4,15.2,0.76,8.29
2009-04-01,0.46,30.4,34.7,39.0,32.0,0.08,1.61
2009-04-02,0.00,26.9,31.1,35.3,27.0,0.51,1.89
2009-04-03,0.00,27.3,35.7,44.1,24.6,0.69,5.30
2009-04-04,0.00,27.6,33.6,39.6,23.6,0.87,3.81
2009-04-05,0.07,29.8,39.2,48.6,26.1,0.55,7.02
2009-04-06,0.00,26.5,33.7,40.9,21.3,0.47,5.14
2009-04-07,0.00,26.1,32.4,38.8,13.1,1.93,5.22
2009-04-08,0.00,26.0,36.2,46.3,8.1,1.92,8.95
2009-04-09,0.00,28.2,39.9,51.7,14.7,1.62,10.46
2009-04-10,0.00,26.6,38.5,50.5,20.8,0.96,8.99
2009-04-11,0.00,24.8,38.2,51.5,17.0,1.37,9.86
2009-04-12,0.00,26.4,39.1,51.8,14.0,1.42,10.90
2009-04-13,0.00,31.3,43.1,54.9,14.4,2.18,12.20
2009-04-14,0.00,34.4,42.2,50.0,11.1,3.22,10.40
2009-04-15,0.00,32.0,45.2,58.4,11.2,2.93,14.75
2009-04-16,0.00,31.5,48.2,64.8,15.4,2.27,18.38
2009-04-17,0.00,34.4,51.3,68.1,20.6,2.20,20.05
2009-04-18,0.00,42.4,56.8,71.3,28.1,3.47,21.63
2009-04-19,0.07,40.7,56.4,72.1,38.6,0.65,19.35
2009-04-20,0.14,34.5,37.6,40.6,36.8,0.11,0.68
2009-04-21,0.29,33.1,35.9,38.7,32.8,0.17,1.32
2009-04-22,0.02,31.2,38.5,45.8,29.0,0.43,5.98
2009-04-23,0.00,33.7,43.0,52.3,27.6,1.12,8.67
2009-04-24,0.53,36.0,47.8,59.5,38.0,0.96,9.06
2009-04-25,0.93,39.9,61.6,83.3,50.2,0.09,24.96
2009-04-26,0.20,37.7,43.8,50.0,36.8,0.25,4.64
2009-04-27,0.99,37.9,47.3,56.7,44.9,0.07,1.11
2009-04-28,0.00,33.5,44.9,56.4,38.2,0.63,4.73
2009-04-29,0.00,38.2,48.5,58.8,26.9,1.92,12.54
2009-04-30,0.00,43.3,51.8,60.2,40.2,0.65,9.60
2009-05-01,0.00,43.1,55.9,68.7,46.0,0.50,10.32
2009-05-02,0.00,39.2,47.4,55.7,29.4,2.64,9.95
2009-05-03,0.00,42.4,50.6,58.8,28.7,2.66,12.40
2009-05-04,0.00,37.7,50.9,64.1,30.6,1.39,15.32
2009-05-05,0.00,47.9,59.1,70.3,32.0,5.08,19.65
2009-05-06,0.03,51.6,59.7,67.7,43.8,2.43,13.64
2009-05-07,0.07,52.3,62.4,72.5,51.7,0.45,15.44
2009-05-08,0.00,48.4,61.0,73.7,40.4,0.84,21.90
2009-05-09,0.13,43.3,56.6,69.8,40.4,0.61,17.82
2009-05-10,0.02,38.3,44.6,50.9,37.2,0.51,5.63
2009-05-11,0.00,35.2,44.7,54.3,32.9,0.61,8.64
2009-05-12,0.00,38.6,50.3,62.1,32.9,1.07,13.39
2009-05-13,0.10,49.2,59.1,69.0,38.9,0.89,17.36
2009-05-14,0.55,47.4,54.2,60.9,50.5,0.24,4.72
2009-05-15,0.00,44.5,52.7,60.9,39.8,1.44,10.16
2009-05-16,0.16,38.9,53.1,67.2,46.7,0.25,12.26
2009-05-17,0.00,35.1,42.9,50.7,24.0,1.83,9.05
2009-05-18,0.00,35.7,48.6,61.5,28.2,1.13,14.09
2009-05-19,0.00,49.4,57.7,66.0,38.2,2.98,14.59
2009-05-20,0.00,51.9,65.5,79.1,49.8,2.17,20.17
2009-05-21,0.00,63.5,74.3,85.1,46.9,8.24,31.12
2009-05-22,0.00,48.7,58.6,68.5,46.7,3.18,12.56
2009-05-23,0.00,52.2,60.5,68.9,43.9,3.08,14.04
2009-05-24,0.00,42.7,57.0,71.3,46.1,1.15,14.53
2009-05-25,0.00,43.3,57.2,71.0,35.7,2.63,19.44
2009-05-26,0.29,48.1,57.8,67.5,36.9,0.42,16.81
2009-05-27,0.78,48.3,51.5,54.8,49.6,0.23,1.88
2009-05-28,1.43,47.8,49.6,51.3,48.3,0.27,1.27
2009-05-29,0.00,50.5,61.6,72.8,48.1,1.26,16.26
2009-05-30,0.04,50.2,59.6,69.0,41.1,1.72,17.75
2009-05-31,0.00,37.3,52.1,67.0,35.2,0.82,16.99
2009-06-01,0.03,47.6,58.1,68.6,39.1,1.89,16.85
2009-06-02,0.00,41.9,55.2,68.5,41.9,0.64,15.51
2009-06-03,0.00,39.5,54.8,70.2,41.1,0.72,15.31
2009-06-04,0.00,39.7,53.0,66.3,37.2,0.43,15.50
2009-06-05,0.00,48.0,59.2,70.5,38.7,2.69,18.34
2009-06-06,0.00,42.8,58.0,73.2,39.7,1.87,19.49
2009-06-07,0.86,44.0,47.4,50.8,42.9,0.26,4.47
2009-06-08,0.21,45.0,47.5,50.1,46.1,0.13,2.00
2009-06-09,0.60,46.4,50.2,54.1,48.5,0.16,2.14
2009-06-10,0.00,46.9,53.0,59.1,48.0,0.30,6.29
2009-06-11,0.00,51.1,59.2,67.2,50.4,0.59,11.06
2009-06-12,0.00,49.5,59.6,69.6,45.9,1.48,15.54
2009-06-13,0.00,51.5,61.4,71.3,46.3,1.08,17.48
2009-06-14,0.00,52.2,63.5,74.8,49.3,1.12,19.11
2009-06-15,0.03,54.4,66.5,78.6,54.4,0.49,20.31
2009-06-16,0.00,56.6,67.8,79.0,54.7,0.76,20.54
2009-06-17,0.30,57.7,67.2,76.6,52.6,0.90,19.50
2009-06-18,0.05,59.2,66.5,73.9,58.9,0.85,11.58
2009-06-19,0.03,62.1,70.1,78.1,64.2,0.33,11.15
2009-06-20,0.00,63.7,71.7,79.7,65.6,0.99,11.57
2009-06-21,0.00,62.2,73.2,84.3,59.8,1.96,24.93
2009-06-22,0.01,66.7,74.5,82.3,61.3,3.96,19.94
2009-06-23,0.01,66.8,75.1,83.4,67.8,0.72,13.38
2009-06-24,0.00,67.8,80.3,92.7,65.8,1.67,34.88
2009-06-25,0.00,66.3,77.6,88.9,66.4,0.91,24.74
2009-06-26,0.06,59.6,72.0,84.5,60.6,1.61,22.34
2009-06-27,0.00,61.5,72.8,84.2,55.8,2.29,26.85
2009-06-28,0.11,59.1,66.7,74.3,60.5,1.77,9.17
2009-06-29,0.00,60.9,67.7,74.5,51.6,4.56,16.34
2009-06-30,0.04,53.8,59.8,65.7,53.0,1.22,7.39
2009-07-01,0.01,50.8,55.5,60.3,49.8,0.87,5.69
2009-07-02,0.00,52.7,58.2,63.7,51.0,1.69,7.25
2009-07-03,0.00,57.8,62.9,68.1,55.1,1.74,8.07
2009-07-04,0.00,59.8,68.6,77.4,55.3,2.11,18.03
2009-07-05,0.00,54.5,65.4,76.3,55.1,0.63,16.82
2009-07-06,0.00,52.5,65.8,79.1,49.6,1.26,22.86
2009-07-07,0.00,49.4,63.1,76.8,46.0,0.98,21.89
2009-07-08,0.00,50.6,63.5,76.5,47.9,1.00,20.85
2009-07-09,0.00,49.5,62.1,74.6,50.6,0.56,17.00
2009-07-10,0.02,58.1,69.2,80.3,57.2,1.40,21.29
2009-07-11,0.02,56.8,70.2,83.6,59.3,1.62,21.82
2009-07-12,0.00,49.5,61.7,74.0,44.6,2.17,20.16
2009-07-13,0.00,49.1,61.2,73.3,45.5,1.04,18.22
2009-07-14,0.00,49.8,63.3,76.8,43.0,1.74,23.73
2009-07-15,0.09,57.9,65.9,73.9,54.2,1.15,16.25
2009-07-16,0.00,53.1,64.6,76.1,54.6,2.33,15.07
2009-07-17,0.00,55.2,63.3,71.4,46.4,2.55,16.32
2009-07-18,0.06,52.8,57.6,62.4,51.4,0.98,6.67
2009-07-19,0.00,48.9,55.9,63.0,50.6,0.42,7.29
2009-07-20,0.00,48.3,60.9,73.4,49.3,0.43,16.88
2009-07-21,0.00,54.7,65.9,77.1,50.2,1.28,20.81
2009-07-22,0.04,57.3,65.2,73.0,57.0,0.43,12.69
2009-07-23,0.55,52.8,64.2,75.7,56.0,0.25,15.32
2009-07-24,0.00,56.0,67.6,79.2,54.4,0.63,21.86
2009-07-25,0.16,56.6,66.7,76.9,58.7,0.79,16.04
2009-07-26,0.10,58.8,65.5,72.2,58.2,0.75,11.10
2009-07-27,0.00,58.9,69.1,79.3,58.0,0.78,18.24
2009-07-28,0.11,58.7,66.0,73.2,61.7,0.65,9.37
2009-07-29,0.00,51.4,62.4,73.3,51.9,1.06,15.05
2009-07-30,0.13,56.1,65.6,75.1,51.2,1.03,19.11
2009-07-31,0.09,50.8,59.1,67.5,54.4,0.18,7.72
2009-08-01,0.06,55.8,65.9,76.0,55.1,0.99,17.09
2009-08-02,0.00,49.8,59.8,69.7,48.7,1.52,13.75
2009-08-03,1.05,54.6,65.1,75.6,54.4,0.59,18.56
2009-08-04,0.32,61.0,71.0,81.0,61.2,0.69,17.45
2009-08-05,0.00,50.4,62.0,73.6,50.8,0.75,16.71
2009-08-06,0.00,53.1,63.3,73.5,49.1,1.54,17.43
2009-08-07,0.00,55.2,65.4,75.6,51.2,1.10,19.17
2009-08-08,0.89,58.5,61.9,65.4,60.3,0.27,4.24
2009-08-09,0.08,65.9,75.0,84.2,69.2,0.51,15.91
2009-08-10,0.00,65.5,73.2,80.9,67.7,0.68,11.59
2009-08-11,0.00,57.5,69.5,81.6,60.2,0.61,19.06
2009-08-12,0.00,55.4,67.6,79.9,56.3,0.42,20.74
2009-08-13,0.00,57.6,69.7,81.7,58.4,0.54,21.65
2009-08-14,2.67,63.3,72.5,81.7,64.0,0.52,18.45
2009-08-15,0.37,64.5,75.1,85.7,67.9,0.34,19.77
2009-08-16,0.00,67.7,75.4,83.1,64.6,2.01,19.00
2009-08-17,0.38,58.4,68.9,79.5,64.8,0.19,11.43
2009-08-18,0.00,57.2,67.8,78.5,58.4,0.47,17.97
2009-08-19,0.00,50.4,61.8,73.1,50.3,0.52,16.30
2009-08-20,0.54,56.7,65.7,74.7,59.5,0.31,11.60
2009-08-21,0.88,57.5,63.2,68.8,59.1,0.22,5.56
2009-08-22,0.00,48.7,55.7,62.7,50.5,0.66,6.56
2009-08-23,0.00,48.1,58.8,69.4,50.2,0.17,11.53
2009-08-24,0.00,50.4,61.7,72.9,54.1,0.34,12.90
2009-08-25,0.00,59.1,68.4,77.7,59.8,1.13,15.35
2009-08-26,0.10,52.9,62.2,71.6,61.4,0.11,8.99
2009-08-27,0.00,53.9,64.3,74.7,54.6,0.70,15.45
2009-08-28,0.00,53.9,63.2,72.5,54.5,0.68,12.65
2009-08-29,0.72,51.2,61.2,71.1,54.3,0.20,9.82
2009-08-30,0.24,43.6,51.3,59.0,47.9,0.34,5.47
2009-08-31,0.00,39.0,51.6,64.1,42.0,0.16,11.74
2009-09-01,0.00,42.3,55.1,67.9,43.3,0.23,14.39
2009-09-02,0.00,43.7,57.2,70.6,47.4,0.27,14.35
2009-09-03,0.00,44.3,57.9,71.5,48.6,0.26,14.36
2009-09-04,0.00,49.8,61.4,72.9,51.5,0.31,14.82
2009-09-05,0.00,49.1,62.4,75.8,52.8,0.33,16.61
2009-09-06,0.00,48.0,62.1,76.1,52.8,0.30,17.41
2009-09-07,0.00,50.2,62.7,75.1,53.1,0.18,16.08
2009-09-08,0.00,48.0,62.5,76.9,53.7,0.12,17.47
2009-09-09,0.00,50.8,63.9,76.9,53.8,0.37,17.65
2009-09-10,0.00,52.8,65.6,78.3,56.4,0.12,18.35
2009-09-11,0.00,55.2,66.9,78.6,59.8,0.14,15.06
2009-09-12,0.00,53.5,66.2,78.8,57.1,0.42,17.73
2009-09-13,0.07,54.9,67.3,79.6,56.5,0.48,20.28
2009-09-14,0.00,57.9,69.3,80.8,59.6,0.77,17.70
2009-09-15,0.00,59.2,70.1,80.9,59.4,0.56,18.67
2009-09-16,0.00,51.5,65.7,80.0,55.0,0.78,20.30
2009-09-17,0.00,43.8,56.9,70.1,49.2,0.21,13.26
2009-09-18,0.00,45.9,59.8,73.6,54.8,0.11,12.89
2009-09-19,0.00,46.4,60.3,74.2,53.7,0.11,13.71
2009-09-20,0.00,48.1,60.9,73.7,51.9,0.21,13.63
2009-09-21,0.03,49.8,60.5,71.3,51.9,0.14,13.16
2009-09-22,0.00,53.5,62.9,72.3,55.1,0.35,12.46
2009-09-23,0.00,55.8,62.9,70.1,59.4,0.12,7.09
2009-09-24,0.00,56.1,65.8,75.6,58.2,0.84,13.03
2009-09-25,0.00,56.0,65.8,75.6,56.3,0.68,17.33
2009-09-26,0.08,55.5,61.6,67.6,55.0,0.19,9.09
2009-09-27,0.00,53.0,61.1,69.3,53.1,0.31,11.57
2009-09-28,0.15,47.3,57.9,68.5,49.9,0.30,10.54
2009-09-29,0.03,43.0,47.7,52.5,40.0,1.37,4.30
2009-09-30,0.00,29.9,41.0,52.1,35.5,0.15,5.15
2009-10-01,0.00,30.5,43.8,57.2,32.1,0.27,10.56
2009-10-02,0.19,34.3,45.7,57.1,39.8,0.16,9.33
2009-10-03,0.27,42.7,45.4,48.2,44.5,0.07,1.27
2009-10-04,0.16,42.9,46.6,50.2,43.6,0.11,2.84
2009-10-05,0.03,42.5,47.7,52.9,43.5,0.46,4.03
2009-10-06,0.20,42.5,47.5,52.5,42.6,0.13,5.16
2009-10-07,1.19,37.7,42.5,47.3,42.4,0.07,1.13
2009-10-08,0.00,41.3,48.2,55.1,39.3,0.74,7.12
2009-10-09,0.00,34.0,41.6,49.2,35.6,0.63,4.54
2009-10-10,0.00,26.6,37.3,48.1,28.6,0.29,6.32
2009-10-11,0.00,23.9,30.8,37.7,18.6,0.55,4.55
2009-10-12,0.00,24.8,33.0,41.2,22.8,0.40,5.36
2009-10-13,0.20,25.9,29.6,33.3,29.4,0.13,0.79
2009-10-14,0.00,26.2,34.4,42.6,29.1,0.23,4.39
2009-10-15,0.00,33.6,37.2,40.8,32.2,0.34,2.49
2009-10-16,0.14,26.9,32.5,38.1,31.5,0.12,1.15
2009-10-17,0.00,27.6,36.3,45.1,28.3,0.33,5.61
2009-10-18,0.00,29.4,37.9,46.3,29.5,0.25,6.01
2009-10-19,0.00,32.7,43.0,53.3,34.7,0.52,6.91
2009-10-20,0.00,39.9,51.9,63.9,42.2,0.28,10.22
2009-10-21,0.00,42.3,45.2,48.0,41.9,0.27,2.67
2009-10-22,1.47,35.8,40.1,44.5,40.1,0.09,0.79
2009-10-23,0.20,35.3,39.5,43.7,34.5,0.11,3.03
2009-10-24,0.72,33.3,36.4,39.5,36.1,0.06,0.52
2009-10-25,0.05,34.4,40.4,46.5,35.4,0.22,4.78
2009-10-26,0.04,39.8,42.5,45.3,42.5,0.04,0.66
2009-10-27,0.00,30.1,38.4,46.7,38.4,0.02,1.35
2009-10-28,0.00,29.9,40.3,50.7,34.2,0.11,5.86
2009-10-29,0.00,37.4,46.4,55.5,44.0,0.13,5.89
2009-10-30,0.61,48.5,51.7,54.9,49.2,0.05,2.76
2009-10-31,0.07,33.0,48.2,63.4,40.6,0.10,9.94
2009-11-01,0.00,29.4,33.9,38.3,29.0,0.20,2.61
2009-11-02,0.00,31.1,39.4,47.6,32.2,0.37,5.53
2009-11-03,0.00,25.8,37.4,48.9,24.3,0.75,7.77
2009-11-04,0.00,25.7,33.2,40.7,23.5,0.79,4.82
2009-11-05,0.00,29.2,34.2,39.2,32.2,0.26,1.65
2009-11-06,0.00,28.6,38.2,47.8,27.4,0.26,6.53
2009-11-07,0.00,37.7,47.5,57.2,40.5,0.50,8.27
2009-11-08,0.00,33.3,49.3,65.3,31.9,0.47,16.19
2009-11-09,0.00,34.9,49.9,64.8,36.1,1.17,16.24
2009-11-10,0.00,29.5,44.1,58.7,31.0,0.68,10.79
2009-11-11,0.00,26.6,42.0,57.3,25.0,0.65,11.91
2009-11-12,0.00,26.6,38.7,50.8,26.4,0.60,8.00
2009-11-13,0.00,34.6,41.1,47.7,26.2,1.99,7.21
2009-11-14,0.00,41.2,47.4,53.7,33.5,2.74,7.76
2009-11-15,0.00,28.0,40.4,52.9,35.3,0.38,4.78
2009-11-16,0.00,22.0,33.9,45.9,21.4,0.28,7.28
2009-11-17,0.00,22.4,35.6,48.8,24.0,0.22,7.62
2009-11-18,0.00,27.5,37.1,46.7,27.4,0.33,6.05
2009-11-19,0.01,31.7,41.1,50.4,36.6,0.19,5.68
2009-11-20,0.26,41.2,42.7,44.2,41.6,0.10,0.90
2009-11-21,0.00,29.7,39.2,48.8,38.2,0.04,2.43
2009-11-22,0.00,30.5,37.9,45.3,37.2,0.02,2.10
2009-11-23,0.02,38.6,45.7,52.7,42.5,0.13,3.79
2009-11-24,0.02,39.1,41.1,43.2,40.7,0.05,0.78
2009-11-25,0.08,40.5,43.3,46.0,40.7,0.23,1.97
2009-11-26,0.12,35.7,39.3,42.8,38.1,0.11,1.23
2009-11-27,0.00,26.9,31.2,35.6,23.4,1.01,2.00
2009-11-28,0.00,25.3,30.6,35.9,21.9,0.38,3.34
2009-11-29,0.00,25.3,34.8,44.2,29.4,0.24,3.62
2009-11-30,0.00,27.6,31.7,35.8,26.6,0.26,2.39
2009-12-01,0.00,27.0,33.4,39.8,27.7,0.22,3.47
2009-12-02,0.00,27.1,35.2,43.3,30.5,0.20,3.44
2009-12-03,0.00,25.8,29.9,34.0,22.6,0.86,2.34
2009-12-04,0.00,18.9,22.8,26.7,14.6,0.76,2.00
2009-12-05,0.00,16.0,18.0,20.0,11.8,0.45,1.35
2009-12-06,0.00,17.6,22.5,27.4,14.6,0.53,2.18
2009-12-07,0.00,17.4,22.6,27.8,12.2,0.56,2.59
2009-12-08,0.00,14.4,20.8,27.1,13.6,0.28,2.14
2009-12-09,0.45,17.6,21.9,26.1,20.0,0.23,1.00
2009-12-10,0.11,1.5,13.9,26.4,10.4,0.22,1.14
2009-12-11,0.00,-7.4,-1.2,5.1,-7.6,0.18,0.89
2009-12-12,0.00,-7.4,1.1,9.6,-4.1,0.15,0.99
2009-12-13,0.00,0.4,14.5,28.5,14.5,0.15,2.10
2009-12-14,0.00,19.8,23.3,26.9,16.2,0.19,1.89
2009-12-15,0.06,0.9,11.6,22.4,11.6,0.18,0.90
2009-12-16,0.00,-3.2,1.2,5.7,-8.5,0.34,0.94
2009-12-17,0.00,-1.3,4.8,10.8,-4.9,0.40,1.33
2009-12-18,0.00,6.7,15.5,24.3,13.5,0.14,1.69
2009-12-19,0.00,21.8,23.7,25.7,20.6,0.35,0.78
2009-12-20,0.00,16.3,21.4,26.4,16.7,0.47,1.26
2009-12-21,0.02,15.8,18.5,21.2,13.7,0.20,1.29
2009-12-22,0.00,5.7,13.9,22.2,11.8,0.13,1.14
2009-12-23,0.00,10.7,17.9,25.1,15.9,0.29,1.18
2009-12-24,0.16,21.8,24.1,26.5,20.3,0.38,1.23
2009-12-25,0.49,25.6,29.9,34.2,28.7,0.25,0.79
2009-12-26,0.30,13.2,24.4,35.5,24.4,0.11,0.90
2009-12-27,0.02,10.1,15.3,20.5,13.4,0.15,1.15
2009-12-28,0.00,17.0,22.0,26.9,20.2,0.17,1.12
2009-12-29,0.00,0.4,12.3,24.3,6.0,0.20,1.64
2009-12-30,0.00,-1.0,7.7,16.4,1.7,0.21,1.44
2009-12-31,0.05,7.6,16.1,24.5,15.8,0.17,0.84
2010-01-01,0.00,5.9,10.5,15.1,3.4,0.33,1.20
2010-01-02,0.00,-9.0,3.6,16.1,-2.1,0.21,1.45
2010-01-03,0.00,-10.0,-2.6,4.9,-9.7,0.19,0.82
2010-01-04,0.00,1.3,7.7,14.2,1.7,0.26,1.18
2010-01-05,0.00,7.2,13.4,19.7,6.4,0.30,1.49
2010-01-06,0.00,5.2,14.8,24.5,6.5,0.25,2.30
2010-01-07,0.05,5.1,14.1,23.0,10.4,0.19,1.75
2010-01-08,0.07,12.3,18.5,24.7,15.0,0.25,1.10
2010-01-09,0.00,5.1,11.4,17.7,2.4,0.42,1.61
2010-01-10,0.00,-0.7,6.8,14.3,0.3,0.19,1.04
2010-01-11,0.00,0.6,10.1,19.6,4.8,0.30,1.67
2010-01-12,0.00,13.8,19.3,24.8,13.6,0.31,1.57
2010-01-13,0.00,12.5,18.2,24.0,13.1,0.23,1.44
2010-01-14,0.00,14.5,19.6,24.7,16.6,0.12,0.95
2010-01-15,0.00,19.4,23.1,26.9,22.8,0.11,0.64
2010-01-16,0.00,21.4,24.0,26.6,22.7,0.12,0.67
